gene_symbol	sig-DMD	corr_coef	p_value	abs_corr_coef	FDR_BH_Reject	FDR_BH_p	Bonfer_Reject	Bonfer_p	BRCA	TN-BRCA	nonTN-BRCA	ERR-BRCA
AASS	sig-DMD_3915	-0.30836584180055465	0.0	0.30836584180055465	True	0.0	True	0.0	Yes	Yes	Yes	No
AATF	sig-DMD_2188	0.3692260670797751	0.0	0.3692260670797751	True	0.0	True	0.0	Yes	No	No	No
ABCA2	sig-DMD_4336	-0.3579677467497651	0.0	0.3579677467497651	True	0.0	True	0.0	Yes	Yes	Yes	No
ABCA2	sig-DMD_4337	0.2907213066725404	0.0	0.2907213066725404	True	0.0	True	0.0	Yes	Yes	Yes	No
ABCB5	sig-DMD_3809	-0.3074313009188108	0.0	0.3074313009188108	True	0.0	True	0.0	Yes	No	No	No
ABCG1	sig-DMD_3149	0.2012560457129884	0.0	0.2012560457129884	True	0.0	True	0.0	No	No	Yes	No
ABLIM1	sig-DMD_616	-0.34284190970017553	0.0	0.34284190970017553	True	0.0	True	0.0	Yes	No	No	No
ACOT7	sig-DMD_46	-0.4145107674169417	0.0	0.4145107674169417	True	0.0	True	0.0	No	Yes	No	No
ACOX3	sig-DMD_3407	-0.2578200010555137	0.0	0.2578200010555137	True	0.0	True	0.0	Yes	No	No	No
ACTN1	sig-DMD_1449	-0.5033160248348542	0.0	0.5033160248348542	True	0.0	True	0.0	Yes	No	Yes	No
ACTR5	sig-DMD_2919	0.2745013276248849	0.0	0.2745013276248849	True	0.0	True	0.0	Yes	Yes	Yes	No
ADAMTS15	sig-DMD_879	-0.5572716967404208	0.0	0.5572716967404208	True	0.0	True	0.0	No	No	Yes	No
ADAMTS2	sig-DMD_3619	0.207796575547602	0.0	0.207796575547602	True	0.0	True	0.0	Yes	No	No	No
ADAMTS3	sig-DMD_3438	-0.3722654002590188	0.0	0.3722654002590188	True	0.0	True	0.0	No	No	Yes	No
ADAMTS5	sig-DMD_3126	-0.3901167956697876	0.0	0.3901167956697876	True	0.0	True	0.0	Yes	No	No	No
ADCY1	sig-DMD_3834	-0.3700857125426216	0.0	0.3700857125426216	True	0.0	True	0.0	Yes	No	No	No
ADCY5	sig-DMD_3305	-0.5634772147373496	0.0	0.5634772147373496	True	0.0	True	0.0	Yes	No	No	No
ADD1	sig-DMD_3388	0.20778712438518868	0.0	0.20778712438518868	True	0.0	True	0.0	Yes	No	No	No
ADD2	sig-DMD_2689	-0.3575444485284612	0.0	0.3575444485284612	True	0.0	True	0.0	Yes	No	No	No
