gene_symbol	BRCA	TN-BRCA	nonTN-BRCA	EndoR-BRCA
A1CF	Yes	No	No	Yes
AACS	Yes	No	No	No
AARS2	Yes	No	No	No
AASS	Yes	Yes	Yes	No
AATF	Yes	No	No	No
AATK	No	No	No	Yes
ABCA10	Yes	No	No	No
ABCA2	Yes	Yes	Yes	No
ABCA5	Yes	No	No	No
ABCB5	Yes	No	No	No
ABCC3	Yes	No	No	No
ABCC4	Yes	Yes	No	No
ABCD3	Yes	No	No	No
ABCD4	Yes	Yes	Yes	No
ABCF3	No	Yes	No	No
ABCG1	No	No	Yes	No
ABHD13	No	Yes	No	No
ABHD14A	No	No	Yes	No
ABHD14B	No	No	Yes	No
ABHD15	No	No	Yes	No
ABHD5	No	No	Yes	No
ABHD8	No	No	Yes	No
ABLIM1	Yes	No	No	No
ABR	Yes	No	No	No
ABT1	No	Yes	No	No
ACACB	Yes	No	No	No
ACAD9	No	Yes	No	No
ACKR6	Yes	Yes	Yes	No
ACOT7	No	Yes	No	No
ACOX3	Yes	No	No	No
ACP1	No	Yes	No	No
ACSM1	Yes	Yes	Yes	No
ACSM2B	Yes	Yes	Yes	No
ACTA1	Yes	No	No	No
ACTBL2	Yes	No	No	No
ACTG1	Yes	No	No	No
ACTN1	Yes	No	Yes	No
ACTR3C	No	No	Yes	No
ACTR5	Yes	Yes	Yes	No
ACTRT2	Yes	No	No	No
ACVR1B	Yes	No	No	No
ACVR2A	No	No	Yes	No
ACVR2B	Yes	No	No	No
ADAM17	No	No	Yes	No
ADAMTS10	Yes	No	No	No
ADAMTS15	No	No	Yes	No
ADAMTS16	Yes	No	Yes	No
ADAMTS17	No	No	Yes	No
ADAMTS18	Yes	No	No	No
ADAMTS2	Yes	No	No	No
ADAMTS20	Yes	Yes	Yes	No
ADAMTS3	No	No	Yes	No
ADAMTS5	Yes	No	No	No
ADAMTSL3	Yes	No	Yes	No
ADAMTSL4	No	Yes	No	No
ADCK4	Yes	No	No	No
ADCY1	Yes	No	No	No
ADCY5	Yes	No	No	No
ADCY8	Yes	No	No	No
ADCYAP1	No	No	Yes	No
ADD1	Yes	No	No	No
ADD2	Yes	No	No	No
ADD3	No	No	Yes	No
ADIRF	Yes	Yes	Yes	No
ADM	Yes	No	No	No
ADNP2	Yes	No	No	No
ADRA1A	Yes	No	No	No
ADRA2A	Yes	No	No	No
ADRA2B	Yes	No	No	No
ADRA2C	Yes	Yes	Yes	Yes
ADRBK2	Yes	Yes	Yes	No
AEN	No	No	Yes	No
AFAP1	No	No	Yes	No
AFAP1L2	No	No	Yes	No
AFF1	Yes	No	No	No
AFG3L2	No	Yes	No	No
AGAP1	Yes	No	No	No
AGAP2	Yes	No	No	No
AGK	Yes	No	No	No
AGPAT3	Yes	No	No	No
AHCTF1	No	Yes	No	No
AHNAK	Yes	No	No	No
AHSP	Yes	No	No	No
AIM1	Yes	No	No	No
AIM2	Yes	No	No	No
AIPL1	Yes	No	No	No
AJAP1	Yes	No	No	No
AK4	Yes	No	Yes	No
AKAP13	No	No	Yes	No
AKNA	Yes	No	No	No
AKR1B1	No	No	Yes	No
AKT1	Yes	No	No	No
AKTIP	Yes	No	No	No
ALDH4A1	Yes	Yes	Yes	No
ALDH9A1	No	Yes	No	No
ALG10	Yes	No	No	No
ALG2	No	Yes	No	No
ALG3	No	Yes	No	No
ALK	No	No	Yes	No
ALKBH3	No	Yes	No	No
ALOX12B	No	Yes	No	No
ALOX15	Yes	No	No	No
ALOXE3	No	Yes	No	No
ALPK1	Yes	Yes	Yes	No
ALX4	Yes	Yes	Yes	No
AMIGO2	No	No	Yes	No
AMPD3	Yes	No	No	No
ANAPC10	No	Yes	No	No
ANAPC2	No	Yes	No	No
ANGPT4	Yes	No	No	No
ANGPTL4	Yes	Yes	Yes	No
ANK1	Yes	Yes	Yes	No
ANKK1	Yes	No	No	No
ANKRD13B	Yes	Yes	Yes	No
ANKRD20A1	Yes	No	No	No
ANO1	Yes	Yes	Yes	No
ANO8	No	Yes	No	No
ANP32B	No	No	Yes	No
ANP32E	No	Yes	No	Yes
ANXA5	Yes	Yes	Yes	No
AP1S1	No	Yes	No	No
AP2S1	Yes	Yes	No	No
AP4E1	No	No	Yes	No
AP4M1	Yes	No	No	No
AP5B1	Yes	Yes	Yes	No
AP5M1	Yes	No	No	No
APAF1	No	No	Yes	No
APBA1	Yes	Yes	Yes	No
APBB1IP	Yes	No	No	No
APC2	Yes	No	No	No
APCDD1	No	No	Yes	No
APCS	Yes	No	No	No
APH1B	No	Yes	No	No
APLP2	Yes	No	No	No
APOB	Yes	No	No	No
APP	No	No	Yes	No
AQP12A	No	Yes	No	No
AQP8	Yes	Yes	Yes	No
ARAP2	No	Yes	No	No
ARAP3	Yes	No	No	No
ARC	Yes	No	Yes	No
ARF5	No	No	Yes	No
ARFGEF2	No	Yes	No	No
ARHGAP12	No	Yes	No	No
ARHGAP20	Yes	Yes	Yes	No
ARHGAP21	No	No	Yes	No
ARHGAP22	Yes	No	No	No
ARHGAP23	No	No	Yes	No
ARHGAP27	Yes	No	No	No
ARHGAP28	Yes	No	No	No
ARHGAP35	Yes	Yes	No	No
ARHGAP44	Yes	No	No	No
ARHGAP8	No	No	Yes	No
ARHGEF1	No	Yes	Yes	No
ARHGEF10L	No	No	Yes	No
ARHGEF11	No	Yes	No	No
ARHGEF12	Yes	No	No	No
ARHGEF16	Yes	No	No	No
ARHGEF17	Yes	No	No	No
ARHGEF2	No	No	Yes	No
ARHGEF37	Yes	No	No	Yes
ARID1A	Yes	No	No	No
ARID1B	No	No	Yes	No
ARID5A	Yes	Yes	No	No
ARID5B	Yes	No	No	No
ARL15	No	No	Yes	No
ARL3	No	Yes	No	No
ARL4A	No	Yes	No	No
ARL4C	No	No	Yes	Yes
ARL6IP6	No	No	Yes	No
ARL8A	Yes	Yes	Yes	No
ARL8B	No	No	Yes	No
ARL9	No	No	Yes	Yes
ARMC10	No	Yes	No	No
ARNT2	Yes	No	No	No
ARNTL	No	No	Yes	No
ARPC2	Yes	No	No	No
ARPC5L	No	Yes	No	No
ARPP19	Yes	Yes	Yes	No
ARRB1	Yes	No	No	No
ARRDC1	No	No	Yes	No
ARRDC4	Yes	No	No	No
ARV1	Yes	Yes	Yes	No
ASAP1	Yes	No	No	No
ASAP2	No	Yes	No	No
ASB18	No	Yes	No	No
ASCL1	No	No	Yes	Yes
ASCL2	No	Yes	No	No
ASCL4	Yes	No	No	No
ASF1B	No	Yes	No	No
ASIC4	Yes	No	No	No
ASNS	Yes	No	No	No
ASPH	Yes	No	No	No
ASS1	No	No	No	Yes
ASTN2	No	No	Yes	No
ASXL1	Yes	Yes	No	No
ASXL3	No	No	Yes	No
ATAD2B	Yes	No	No	No
ATAD3C	Yes	No	No	No
ATF3	Yes	No	No	No
ATF4	No	No	Yes	No
ATG7	No	No	Yes	No
ATHL1	No	Yes	No	Yes
ATL2	No	No	Yes	No
ATM	Yes	No	No	No
ATN1	Yes	No	No	No
ATOH1	No	No	Yes	No
ATOH8	Yes	Yes	Yes	No
ATP10A	Yes	No	No	No
ATP11A	Yes	No	No	No
ATP11B	No	Yes	No	No
ATP12A	Yes	No	No	No
ATP13A2	No	No	Yes	No
ATP13A3	No	Yes	No	No
ATP1A3	Yes	Yes	No	No
ATP1B1	No	No	Yes	No
ATP2A3	Yes	No	No	No
ATP5D	Yes	No	No	No
ATP5E	No	Yes	No	No
ATP5EP2	Yes	Yes	Yes	No
ATP5J	No	No	Yes	No
ATP6V0C	No	No	Yes	No
ATP6V0E2	Yes	No	Yes	No
ATP6V1A	No	Yes	No	No
ATP6V1B1	No	Yes	No	No
ATP8B3	Yes	No	No	No
ATP9A	No	No	Yes	No
ATPIF1	No	Yes	No	No
ATRAID	No	Yes	No	No
ATXN10	Yes	Yes	Yes	No
ATXN2	Yes	Yes	Yes	No
ATXN7	Yes	Yes	Yes	No
AUH	No	No	Yes	No
AURKA	Yes	No	No	No
AURKB	Yes	Yes	Yes	No
AVPR1A	Yes	Yes	Yes	No
AXIN2	No	No	No	Yes
B3GALNT1	Yes	Yes	Yes	No
B3GALT5	Yes	No	No	No
B3GAT1	Yes	No	No	No
B3GAT2	Yes	No	No	No
